French,English
chercher,search
seulement,only
police,police
genre,kind
car,because
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
longtemps,long time
revoir,meet again
parle,speak
compris,understood
savais,knew
voici,here is
pourrais,could
affaire,case
leurs,their
corps,body
trouve,find
main,hand
première,first
pouvoir,power
matin,morning
tellement,so much
suite,after
mis,placed
droit,law
aujourd'hui,today
mari,husband
cause,cause
attendez,Wait
arrêter,Stop
dirait,would say
donne,given
loin,far
croire,believe
plutôt,rather
aura,will have
bureau,office
